TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
1  1  1.0000000000000000  inf  
1  2  0.0000000000000000  1.0000000000000000  
1  3  0.0000000000000000  0.0000000000000000  
2  1  0.6837722339831621  0.0257629856324093  
2  2  0.0000000000000000  0.6823536099965025  
2  3  0.0000000000000000  0.0000000000000000  
3  1  0.3187079309420385  0.0189282830541636  
3  2  0.0000000000000000  0.3174386659050740  
3  3  0.0000000000000000  0.0000000000000000  
4  1  0.1745958147319819  0.0017139320116239  
4  2  0.0000000000000000  0.1740373103358526  
4  3  0.0000000000000000  0.0000000000000000  
5  1  0.1087490618662541  0.0022897103365021  
5  2  0.0000000000000000  0.1083938496876425  
5  3  0.0000000000000000  0.0000000000000000  
6  1  0.0738812718712072  0.0012657675085063  
6  2  0.0000000000000000  0.0736401827800330  
6  3  0.0000000000000000  0.0000000000000000  
7  1  0.0533477396918101  0.0008512906676537  
7  2  0.0000000000000000  0.0531741021529906  
7  3  0.0000000000000000  0.0000000000000000  
8  1  0.0402837306320779  0.0006367196146174  
8  2  0.0000000000000000  0.0401528601578905  
8  3  0.0000000000000000  0.0000000000000000  
9  1  0.0314743851400653  0.0004966340001538  
9  2  0.0000000000000000  0.0313722494063524  
9  3  0.0000000000000000  0.0000000000000000  
10  1  0.0252597744433936  0.0003971819688664  
10  2  0.0000000000000000  0.0251779135079660  
